date.time,date,site,plot,common.name,scientific.name,family,assessment.method,SamplingPeriod,survey.method,SamplingDay
2022-04-30T17:55:00Z,1/5/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,fall.2022,spotlighting,10
2022-04-30T17:55:00Z,1/5/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,fall.2022,spotlighting,10
2022-04-30T17:55:00Z,1/5/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,fall.2022,spotlighting,10
2022-05-01T18:34:00Z,1/5/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,fall.2022,incidentals,11
2022-11-15T20:20:00Z,15/11/2022,Duval,WetB,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,pitfall,18
2022-11-12T20:48:00Z,13/11/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,15
2022-11-12T20:48:00Z,13/11/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,15
2022-11-12T20:48:00Z,13/11/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,15
2022-11-12T20:48:00Z,13/11/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,15
2022-11-12T20:48:00Z,13/11/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,15
2022-11-12T20:48:00Z,13/11/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,15
2022-11-12T20:48:00Z,13/11/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,15
2022-11-12T20:48:00Z,13/11/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,15
2022-11-12T20:48:00Z,13/11/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,15
2022-11-12T20:48:00Z,13/11/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,15
2022-11-13T20:42:00Z,14/11/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,16
2022-11-13T20:42:00Z,14/11/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,16
2022-11-13T20:42:00Z,14/11/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,16
2022-11-13T20:42:00Z,14/11/2022,Duval,WetA,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,16
2022-11-13T20:14:00Z,14/11/2022,Duval,WetB,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,16
2022-11-13T20:14:00Z,14/11/2022,Duval,WetB,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,16
2022-11-13T20:14:00Z,14/11/2022,Duval,WetB,Eastern Sign-bearing Froglet,Crinia parinsignifera,Myobatrachidae,OBM,spring.2022,spotlighting,16
