date.time,date,site,plot,common.name,scientific.name,family,assessment.method,season,SamplingDay,sampling.trip
2020-03-20T12:41:16Z,2020-03-20,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,2,NA
2020-03-21T12:38:10Z,2020-03-21,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,3,NA
2020-03-22T13:29:16Z,2020-03-22,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,4,NA
2020-03-23T10:53:49Z,2020-03-23,Tarcutta,DryB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,5,NA
2020-03-24T13:15:01Z,2020-03-24,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,6,NA
2020-03-25T08:32:58Z,2020-03-25,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,7,NA
2020-03-28T13:36:01Z,2020-03-28,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,10,NA
2020-03-29T22:55:58Z,2020-03-29,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,11,NA
2020-03-30T17:41:16Z,2020-03-30,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,12,NA
2020-03-31T16:41:34Z,2020-03-31,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,13,NA
2020-04-02T15:58:16Z,2020-04-02,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,15,NA
2020-04-04T22:30:43Z,2020-04-04,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,17,NA
2020-04-07T17:43:58Z,2020-04-07,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,20,NA
2020-04-10T14:05:37Z,2020-04-10,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,23,NA
2020-04-12T02:50:25Z,2020-04-12,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,25,NA
2020-04-14T17:43:01Z,2020-04-14,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,27,NA
2020-04-16T09:42:10Z,2020-04-16,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,29,NA
2020-04-17T11:11:28Z,2020-04-17,Tarcutta,WetA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,30,NA
2020-04-18T12:07:01Z,2020-04-18,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,31,NA
2020-04-21T02:32:01Z,2020-04-21,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,34,NA
2020-04-25T14:14:40Z,2020-04-25,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,38,NA
2020-04-26T14:28:28Z,2020-04-26,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,39,NA
2020-04-28T16:07:16Z,2020-04-28,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,41,NA
2020-04-29T15:00:04Z,2020-04-29,Tarcutta,DryA,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,42,NA
2020-05-05T23:07:34Z,2020-05-05,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,48,NA
2020-05-06T12:09:55Z,2020-05-06,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,49,NA
2020-05-09T00:21:31Z,2020-05-09,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,52,NA
2020-05-11T11:12:07Z,2020-05-11,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,54,NA
2020-05-12T16:24:40Z,2020-05-12,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,55,NA
2020-05-13T18:19:25Z,2020-05-13,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,56,NA
2020-05-15T18:05:46Z,2020-05-15,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,58,NA
2020-05-16T12:43:07Z,2020-05-16,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,59,NA
2020-05-19T16:15:58Z,2020-05-19,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,62,NA
2020-05-20T09:52:10Z,2020-05-20,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,63,NA
2020-05-23T11:22:34Z,2020-05-23,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,66,NA
2020-05-24T17:48:34Z,2020-05-24,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,67,NA
2020-05-25T17:57:55Z,2020-05-25,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,68,NA
2020-05-26T00:20:10Z,2020-05-26,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,69,NA
2020-05-27T02:32:55Z,2020-05-27,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,70,NA
2020-05-28T14:24:22Z,2020-05-28,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,71,NA
2020-05-29T12:20:37Z,2020-05-29,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,72,NA
2020-05-30T15:09:04Z,2020-05-30,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,73,NA
2020-05-31T13:49:01Z,2020-05-31,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,autumn,74,NA
2020-06-01T00:57:46Z,2020-06-01,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,1,NA
2020-06-02T18:44:25Z,2020-06-02,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,2,NA
2020-06-03T02:32:46Z,2020-06-03,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,3,NA
2020-06-04T16:05:55Z,2020-06-04,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,4,NA
2020-06-05T10:59:16Z,2020-06-05,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,5,NA
2020-06-06T15:35:40Z,2020-06-06,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,6,NA
2020-06-07T14:55:01Z,2020-06-07,Tarcutta,WetB,Common Eastern Froglet,Crinia signifera,Myobatrachidae,PAM.all,winter,7,NA
